period_id,fort_id,start_year,end_year,period_type,period_notes,period_order,name_primary,state_territory
3222,2822,1942,1946,,,0,Aleutian Islands Defenses,AK
3195,2798,1940,1945,,,0,Annette Island Post,AK
3185,2788,1942,1945,,,0,Bethel Post,AK
3166,2770,1942,1945,,,0,Big Delta Post,AK
3187,2790,1919,1926,,,0,Camp Anchorage,AK
3167,2771,1898,1900,,,0,Camp Circle City,AK
3208,2809,1898,1899,,,0,Camp Dyea,AK
3173,2776,1942,1945,,,0,Camp Nenana,AK
3172,2775,1899,1901,,,0,Camp Rampart,AK
3207,2808,1898,1904,,,0,Camp Skagway,AK
3204,2805,1907,,,,0,Camp Treadwell,AK
3160,2764,1942,1968,,,0,Camp Valdez,AK
3191,2794,1858,,,,0,Coal Harbor Post,AK
3157,2761,1942,1946,,,0,Cordova Post,AK
3206,2807,1942,1946,,,0,Excursion Inlet Post,AK
3175,2778,1868,,,,0,Fort Adams,AK
3192,2795,1785,,,,0,Fort Alexander (1),AK
3213,2814,1818,,,,0,Fort Alexander (2),AK
3184,2787,1853,1867,,,0,Fort Andreavsky,AK
3163,2767,,,,Unparsed: unknown - 1848,0,Fort Batzulnetas,AK
3159,2763,1792,,,,0,Fort Constantine,AK
3180,2783,1885,1886,,,0,Fort Cosmos,AK
3182,2785,1900,1919,,,0,Fort Davis,AK
3218,2819,1833,,,,0,Fort Delarof,AK
3158,2762,1787,,,,0,Fort Etches,AK
3174,2777,1899,1923,,,0,Fort Gibbon,AK
3171,2774,1899,,,,0,Fort Hamlin,AK
3215,2816,,,,Unparsed: unknown dates,0,Fort Jensen,AK
3189,2792,1869,1870,,,0,Fort Kenay,AK
3179,2782,1866,,,,0,Fort Kennicott,AK
3211,2812,1868,1870,,,0,Fort Kodiak,AK
3202,2803,1867,,,,0,Fort Koutznou,AK
3161,2765,1900,1922,,,0,Fort Liscum,AK
3216,2817,1942,1946,,,0,Fort Morrow,AK
3181,2784,1883,1884,,,0,Fort Morton,AK
3178,2781,1838,1851,,,0,Fort Nulato,AK
3219,2820,1942,1946,,,0,Fort Randall,AK
3193,2796,1792,,,,0,Fort Resurrection,AK
3190,2793,1786,,,,0,Fort St. George,AK
3200,2801,1840,1849,,,0,Fort Stikine,AK
3214,2815,1830,,,,0,Fort Suvarov,AK
3203,2804,1840,1843,,,0,Fort Taku,AK
3194,2797,1868,1870,,,0,Fort Tongass,AK
3197,2800,1868,1870,,,0,Fort Wrangel,AK
3198,2800,1874,1877,,,1,Fort Wrangel,AK
