fort_id,name_primary,alt_names,state_territory,state_full_name,location_text,fort_type,nationality,dates_raw,earliest_year,latest_year,source_url,source_section,description_raw,entry_raw,other_attributes,scraped_at
2822,Aleutian Islands Defenses,Atka Island|Atka Post|Adak Island|Adak Post|Adak Naval Station|Amchitka Island|Amchitka Post|Kiska Island|Kiska Post|Shemya Island|Shemya Post|Shemya Air Force Base|Eareckson Air Force Station|Agattu Island|Attu Island|Camp Earle|Attu Post,AK,Alaska,various islands,battery,United States,(1942 - 1946),1942,1946,https://www.northamericanforts.com/West/ak3.html,West,"Aleutian Islands WWII History Atka Island : The U.S. Army established Atka Post in 1942. Adak Island : An Army airfield ( Adak Post ) and Navy base ( Adak Naval Station ) protected by two 6-inch naval guns. Several 155mm guns on Panama mounts were located at Zeto Point (mounts still intact). An AMTB battery was located at Kruluk Bay. Sixty AA guns were emplaced around the island. Restricted public access. Amchitka Island : The U.S. Army established Amchitka Post in 1943. The Army airfield was protected by eight 155mm guns on Panama mounts located at Constantine Harbor (mounts still intact). Several machine-gun pillboxes still remain along the airfield. Restricted public access. Kiska Island : Captured and fortified by Japan 1942 - 1943. Japanese guns still remaining on the island (at North Head) include one 4.7-inch quick-firing M1905 British gun, one 6-inch M1900 British gun, four 150mm naval guns, one 140mm coast defense gun, four 120mm dual-purpose guns, and several 3-inch M1900 British guns. One 6-inch M1894 British gun is still located on Little Kiska Island. The Japanese evacuated after losing Attu Island. The U.S. Army then established Kiska Post in 1943. (Special thanks to Dirk Spennemann, Colt Denfeld, and Glen Williford of the Coast Defense Study Group for providing Japanese gun data and current status) Shemya Island : The U.S. Army established Shemya Post in 1943, including an airstrip. An AMTB battery still remains in situ, and possibly one or two other batteries were located here. Shemya Air Force Base was renamed Eareckson Air Force Station in 1993. Still active as a subpost of Elmendorf Air Force Base. Restricted public access. Agattu Island : Captured by Japan and briefly held in 1942. Not fortified by the U.S. Army. Attu Island : Captured and fortified by Japan 1942 - 1943. One 75mm AA Japanese gun still remains. Recaptured by the U.S. Army in 1943 who then established Camp Earle (aka Attu Post ). Several 155mm guns on Panama mounts were located at Chichagof Point. Also emplaced were 21 AA guns. Restricted public access. Attu Battlefield and Army-Navy Airfields info by NPS. (info courtesy of Colt Denfeld of the Coast Defense Study Group)","Aleutian Islands Defenses (1942 - 1946), various islands - Aleutian Islands WWII History Atka Island : The U.S. Army established Atka Post in 1942. Adak Island : An Army airfield ( Adak Post ) and Navy base ( Adak Naval Station ) protected by two 6-inch naval guns. Several 155mm guns on Panama mounts were located at Zeto Point (mounts still intact). An AMTB battery was located at Kruluk Bay. Sixty AA guns were emplaced around the island. Restricted public access. Amchitka Island : The U.S. Army established Amchitka Post in 1943. The Army airfield was protected by eight 155mm guns on Panama mounts located at Constantine Harbor (mounts still intact). Several machine-gun pillboxes still remain along the airfield. Restricted public access. Kiska Island : Captured and fortified by Japan 1942 - 1943. Japanese guns still remaining on the island (at North Head) include one 4.7-inch quick-firing M1905 British gun, one 6-inch M1900 British gun, four 150mm naval guns, one 140mm coast defense gun, four 120mm dual-purpose guns, and several 3-inch M1900 British guns. One 6-inch M1894 British gun is still located on Little Kiska Island. The Japanese evacuated after losing Attu Island. The U.S. Army then established Kiska Post in 1943. (Special thanks to Dirk Spennemann, Colt Denfeld, and Glen Williford of the Coast Defense Study Group for providing Japanese gun data and current status) Shemya Island : The U.S. Army established Shemya Post in 1943, including an airstrip. An AMTB battery still remains in situ, and possibly one or two other batteries were located here. Shemya Air Force Base was renamed Eareckson Air Force Station in 1993. Still active as a subpost of Elmendorf Air Force Base. Restricted public access. Agattu Island : Captured by Japan and briefly held in 1942. Not fortified by the U.S. Army. Attu Island : Captured and fortified by Japan 1942 - 1943. One 75mm AA Japanese gun still remains. Recaptured by the U.S. Army in 1943 who then established Camp Earle (aka Attu Post ). Several 155mm guns on Panama mounts were located at Chichagof Point. Also emplaced were 21 AA guns. Restricted public access. Attu Battlefield and Army-Navy Airfields info by NPS. (info courtesy of Colt Denfeld of the Coast Defense Study Group)",,2025-11-30 02:28:31
2798,Annette Island Post,Prince Rupert Harbour Defences,AK,Alaska,Annette Island,battery,United States,(1940 - 1945),1940,1945,https://www.northamericanforts.com/West/ak2.html,West,"A U.S. Army Air Corps field with two 5000-foot runways, later extended to 6000 and 7500 feet. Beginning in May 1942 the base was primarily used by the Royal Canadian Air Force for bombers (115 Squadron) and fighters (118 Squadron) used in the front-line defense of Prince Rupert , BC. There was at least one Canadian Heavy AA gun battery, located at the southern end of the runway. A Canadian Infantry camp was located at Moss Point. All Canadian troops here were under Canadian command, until withdrawn in November 1943. A U.S. Navy seaplane base and fuel depot was located at Crab Point in Tamgas Harbor. American coastal defenses included a four-gun 155mm gun battery on Panama mounts located on Davison Point (mounts still remain), and two 6-inch naval guns located at Smuggler Cove (gone). Fire-control towers were located at Yellow Hill, Mid Point, Davison Point, Warburton Island, Hotspur Island, and Callaghan Island. Searchlight towers were located at Mid Point, Warburton Island, Hotspur Island, and Callaghan Island. (see also Prince Rupert Harbour Defences , British Columbia)","Annette Island Post (1940 - 1945), Annette Island - A U.S. Army Air Corps field with two 5000-foot runways, later extended to 6000 and 7500 feet. Beginning in May 1942 the base was primarily used by the Royal Canadian Air Force for bombers (115 Squadron) and fighters (118 Squadron) used in the front-line defense of Prince Rupert , BC. There was at least one Canadian Heavy AA gun battery, located at the southern end of the runway. A Canadian Infantry camp was located at Moss Point. All Canadian troops here were under Canadian command, until withdrawn in November 1943. A U.S. Navy seaplane base and fuel depot was located at Crab Point in Tamgas Harbor. American coastal defenses included a four-gun 155mm gun battery on Panama mounts located on Davison Point (mounts still remain), and two 6-inch naval guns located at Smuggler Cove (gone). Fire-control towers were located at Yellow Hill, Mid Point, Davison Point, Warburton Island, Hotspur Island, and Callaghan Island. Searchlight towers were located at Mid Point, Warburton Island, Hotspur Island, and Callaghan Island. (see also Prince Rupert Harbour Defences , British Columbia)",,2025-11-30 02:28:30
2788,Bethel Post,,AK,Alaska,Bethel,fort,United States,(1942 - 1945),1942,1945,https://www.northamericanforts.com/West/ak.html,West,A WWII Army post and airfield.,"Bethel Post (1942 - 1945), Bethel - A WWII Army post and airfield.",,2025-11-30 02:28:29
2770,Big Delta Post,,AK,Alaska,Big Delta,fort,United States,(1942 - 1945),1942,1945,https://www.northamericanforts.com/West/ak.html,West,A WWII Army post and airfield protecting the Alaska Highway.,"Big Delta Post (1942 - 1945), Big Delta - A WWII Army post and airfield protecting the Alaska Highway.",,2025-11-30 02:28:29
2790,Camp Anchorage,Fort Richardson / Elmendorf Field|Elmendorf Air Force Base,AK,Alaska,Anchorage,camp,United States,(1919 - 1926),1919,1926,https://www.northamericanforts.com/West/ak.html,West,"Established to protect the railroad that was under construction at the time. Located one mile north of town. Fort Richardson / Elmendorf Field was established nearby in 1940. The main cantonment of Fort Richardson moved in 1950 to its present site, and the original post became Elmendorf Air Force Base . This is the headquarters post for U.S. Army Alaska and the Alaska National Guard.","Camp Anchorage (1919 - 1926), Anchorage - Established to protect the railroad that was under construction at the time. Located one mile north of town. Fort Richardson / Elmendorf Field was established nearby in 1940. The main cantonment of Fort Richardson moved in 1950 to its present site, and the original post became Elmendorf Air Force Base . This is the headquarters post for U.S. Army Alaska and the Alaska National Guard.",,2025-11-30 02:28:29
2771,Camp Circle City,,AK,Alaska,Circle City,camp,United States,(1898 - 1900),1898,1900,https://www.northamericanforts.com/West/ak.html,West,An Army post that occupied a former local trading post for miners. A subpost of Fort Egbert.,"Camp Circle City (1898 - 1900), Circle City - An Army post that occupied a former local trading post for miners. A subpost of Fort Egbert.",,2025-11-30 02:28:29
2809,Camp Dyea,,AK,Alaska,Dyea,camp,United States,(1898 - 1899),1898,1899,https://www.northamericanforts.com/West/ak2.html,West,An Army post located at the mouth of the Taiya River. Established to relieve destitution among miners. It was destroyed by fire and replaced by Camp Skagway.,"Camp Dyea (1898 - 1899), Dyea - An Army post located at the mouth of the Taiya River. Established to relieve destitution among miners. It was destroyed by fire and replaced by Camp Skagway.",,2025-11-30 02:28:30
2776,Camp Nenana,,AK,Alaska,Nenana,camp,United States,(1942 - 1945),1942,1945,https://www.northamericanforts.com/West/ak.html,West,A WWII Army forward supply base on the Nenana River for other posts down the Yukon River.,"Camp Nenana (1942 - 1945), Nenana - A WWII Army forward supply base on the Nenana River for other posts down the Yukon River.",,2025-11-30 02:28:29
2775,Camp Rampart,,AK,Alaska,Rampart,camp,United States,(1899 - 1901),1899,1901,https://www.northamericanforts.com/West/ak.html,West,An Army post to protect a supply center for gold miners.,"Camp Rampart (1899 - 1901), Rampart - An Army post to protect a supply center for gold miners.",,2025-11-30 02:28:29
2808,Camp Skagway,Skagway Post,AK,Alaska,Skagway,camp,United States,(1898 - 1904),1898,1904,https://www.northamericanforts.com/West/ak2.html,West,An Army post located at the mouth of the Skagway River near the head of Taiya Inlet. The post was discontinued and the garrison moved to Fort Seward. The Canadian North West Mounted Police had a small detachment here ( Skagway Post ) from 1897 - 1898 before the American Army arrived.,"Camp Skagway (1898 - 1904), Skagway - An Army post located at the mouth of the Skagway River near the head of Taiya Inlet. The post was discontinued and the garrison moved to Fort Seward. The Canadian North West Mounted Police had a small detachment here ( Skagway Post ) from 1897 - 1898 before the American Army arrived.",,2025-11-30 02:28:30
2805,Camp Treadwell,,AK,Alaska,"Treadwell, Douglas Island",camp,United States,(1907),1907,1907,https://www.northamericanforts.com/West/ak2.html,West,A temporary Army guard detail for the Alaska Treadwell Gold Mining Company.,"Camp Treadwell (1907), Treadwell, Douglas Island - A temporary Army guard detail for the Alaska Treadwell Gold Mining Company.",,2025-11-30 02:28:30
2764,Camp Valdez,,AK,Alaska,Valdez,camp,United States,(1942 - 1968),1942,1968,https://www.northamericanforts.com/West/ak.html,West,A military recreational facility.,"Camp Valdez (1942 - 1968), Valdez - A military recreational facility.",,2025-11-30 02:28:29
2794,Coal Harbor Post,,AK,Alaska,near Kachemak City,fort,Russia,(1858 - unknown),1858,1858,https://www.northamericanforts.com/West/ak.html,West,A coaling depot used by Russian-American Company steamships.,"Coal Harbor Post (1858 - unknown), near Kachemak City - A coaling depot used by Russian-American Company steamships.",,2025-11-30 02:28:29
2761,Cordova Post,,AK,Alaska,Spike Island,battery,United States,(1942 - 1946),1942,1946,https://www.northamericanforts.com/West/ak.html,West,A one-gun 6-inch naval gun battery was located here (mount remains) in Orca Inlet to protect the nearby Navy Section Base at Cordova . Several machine-gun pillboxes are still located at the airfield. Site is now owned by the U.S. Coast Guard. (info courtesy of Colt Denfeld of the Coast Defense Study Group),"Cordova Post (1942 - 1946), Spike Island - A one-gun 6-inch naval gun battery was located here (mount remains) in Orca Inlet to protect the nearby Navy Section Base at Cordova . Several machine-gun pillboxes are still located at the airfield. Site is now owned by the U.S. Coast Guard. (info courtesy of Colt Denfeld of the Coast Defense Study Group)",,2025-11-30 02:28:29
2807,Excursion Inlet Post,,AK,Alaska,Excursion Inlet,barracks,United States,(1942 - 1946),1942,1946,https://www.northamericanforts.com/West/ak2.html,West,"A U.S. Army Engineer and Quartermaster post. Three barge docks, sheds, oil docks, cold storage buildings, warehouses, tank farm, marine repair facility, water reservoir, and barracks for up to 4000 troops were constructed. The post was not completed until after the Japanese evacuated the Aleutians, and was therefore abandoned without any use. There were no known defenses. The base was dismantled by imported German POWs from Colorado from June 1945 to November 1945. The remaining buildings were sold off in January 1946.","Excursion Inlet Post (1942 - 1946), Excursion Inlet - A U.S. Army Engineer and Quartermaster post. Three barge docks, sheds, oil docks, cold storage buildings, warehouses, tank farm, marine repair facility, water reservoir, and barracks for up to 4000 troops were constructed. The post was not completed until after the Japanese evacuated the Aleutians, and was therefore abandoned without any use. There were no known defenses. The base was dismantled by imported German POWs from Colorado from June 1945 to November 1945. The remaining buildings were sold off in January 1946.",,2025-11-30 02:28:30
2778,Fort Adams,,AK,Alaska,near Tanana,trading post,United States,(1868 - unknown),1868,1868,https://www.northamericanforts.com/West/ak.html,West,An American trading post located at the mouth of the Tozi (Tozitna ?) River. Possibly the same as Nukluroyit Station below.,"Fort Adams (1868 - unknown), near Tanana - An American trading post located at the mouth of the Tozi (Tozitna ?) River. Possibly the same as Nukluroyit Station below.",,2025-11-30 02:28:29
2795,Fort Alexander (1),Fort Alexandrovsk (1)|Alexander Redoubt,AK,Alaska,English Bay,redoubt,Russia,(1785 - unknown),1785,1785,https://www.northamericanforts.com/West/ak.html,West,"A large Russian fort (120-yards square, stockaded, with two bastions, and 22 other buildings) located near Graham Harbor. Also called Fort Alexandrovsk (1) and Alexander Redoubt . The community, also known today as Nanwalek , was the oldest Russian settlement on the Alaska mainland.","Fort Alexander (1) (1785 - unknown), English Bay - A large Russian fort (120-yards square, stockaded, with two bastions, and 22 other buildings) located near Graham Harbor. Also called Fort Alexandrovsk (1) and Alexander Redoubt . The community, also known today as Nanwalek , was the oldest Russian settlement on the Alaska mainland.",,2025-11-30 02:28:29
2814,Fort Alexander (2),"Fort Alexandrovsk (2), Fort Alexandrovski, Fort Alexandra|Fort Nushagak",AK,Alaska,Nushagak,blockhouse,Russia,(1818 - unknown),1818,1818,https://www.northamericanforts.com/West/ak3.html,West,"A Russian trading post located north of Clarks Point . A large stockade and blockhouse was added in 1834. Variously known as Fort Alexandrovsk (2), Fort Alexandrovski, Fort Alexandra , and Fort Nushagak .","Fort Alexander (2) (1818 - unknown), Nushagak - A Russian trading post located north of Clarks Point . A large stockade and blockhouse was added in 1834. Variously known as Fort Alexandrovsk (2), Fort Alexandrovski, Fort Alexandra , and Fort Nushagak .",,2025-11-30 02:28:31
2787,Fort Andreavsky,,AK,Alaska,Old Andreafsky,stockade,Russia,(1853 - 1867),1853,1867,https://www.northamericanforts.com/West/ak.html,West,A Russian stockaded trading post located 13 miles below the mouth of the Milavanoff (Andreafsky ?) River near St. Marys . Attacked by Indians in 1855. Abandoned before the American transfer of the territory.,"Fort Andreavsky (1853 - 1867), Old Andreafsky - A Russian stockaded trading post located 13 miles below the mouth of the Milavanoff (Andreafsky ?) River near St. Marys . Attacked by Indians in 1855. Abandoned before the American transfer of the territory.",,2025-11-30 02:28:29
2767,Fort Batzulnetas,,AK,Alaska,near Slana,trading post,Russia,(unknown - 1848),,,https://www.northamericanforts.com/West/ak.html,West,"A Russian trading post on the Copper River, about ten miles upriver from town (east-southeast), abandoned after the garrison was massacred by Indians. An American military expedition in 1885 reported finding the remains of the post, the site of which no white man had visited in the intervening years.","Fort Batzulnetas (unknown - 1848), near Slana - A Russian trading post on the Copper River, about ten miles upriver from town (east-southeast), abandoned after the garrison was massacred by Indians. An American military expedition in 1885 reported finding the remains of the post, the site of which no white man had visited in the intervening years.",,2025-11-30 02:28:29
2763,Fort Constantine,Konstantine|Fort St. Helens|Fort Helena,AK,Alaska,"Nuchek, Hinchinbrook Island",redoubt,Russia,(1792 - unknown),1792,1792,https://www.northamericanforts.com/West/ak.html,West,A Russian blockhouse/redoubt. Also spelled Konstantine . Alternate names include Fort St. Helens and Fort Helena .,"Fort Constantine (1792 - unknown), Nuchek, Hinchinbrook Island - A Russian blockhouse/redoubt. Also spelled Konstantine . Alternate names include Fort St. Helens and Fort Helena .",,2025-11-30 02:28:29
2783,Fort Cosmos,,AK,Alaska,near Kobuk ?,fort,United States,(1885 - 1886),1885,1886,https://www.northamericanforts.com/West/ak.html,West,An American military winter camp. Site located 130 miles up the Kobuk River.,"Fort Cosmos (1885 - 1886), near Kobuk ? - An American military winter camp. Site located 130 miles up the Kobuk River.",,2025-11-30 02:28:29
2785,Fort Davis,Camp Nome,AK,Alaska,Nome,camp,United States,(1900 - 1919 or 1921),1900,1919,https://www.northamericanforts.com/West/ak.html,West,An American post located at the mouth of the Nome River. It was built for protection for gold miners. American Camp Nome (1900) was located in town.,"Fort Davis (1900 - 1919 or 1921), Nome - An American post located at the mouth of the Nome River. It was built for protection for gold miners. American Camp Nome (1900) was located in town.",,2025-11-30 02:28:29
2819,Fort Delarof,Delarof Redoubt,AK,Alaska,"Unga, Unga Island",redoubt,Russia,(1833 - unknown),1833,1833,https://www.northamericanforts.com/West/ak3.html,West,A Russian stockaded post near Squaw Harbor . Also called Delarof Redoubt .,"Fort Delarof (1833 - unknown), Unga, Unga Island - A Russian stockaded post near Squaw Harbor . Also called Delarof Redoubt .",,2025-11-30 02:28:31
2762,Fort Etches,,AK,Alaska,Hinchinbrook Island,stockade,Russia,(1787 - unknown),1787,1787,https://www.northamericanforts.com/West/ak.html,West,"A Russian stockaded trading post built by the Lebedoff Company. One side of the stockade was formed by an armed ship hauled on shore. Located on the southwestern arm of the island, probably at or near Etches Creek.","Fort Etches (1787 - unknown), Hinchinbrook Island - A Russian stockaded trading post built by the Lebedoff Company. One side of the stockade was formed by an armed ship hauled on shore. Located on the southwestern arm of the island, probably at or near Etches Creek.",,2025-11-30 02:28:29
2777,Fort Gibbon,,AK,Alaska,Tanana,fort,United States,(1899 - 1923),1899,1923,https://www.northamericanforts.com/West/ak.html,West,An American military post built for protection for gold miners. It was the headquarters post of all interior Alaska until 1923.,"Fort Gibbon (1899 - 1923), Tanana - An American military post built for protection for gold miners. It was the headquarters post of all interior Alaska until 1923.",,2025-11-30 02:28:29
2774,Fort Hamlin,,AK,Alaska,Fort Hamlin,trading post,United States,(1899 ?),1899,1899,https://www.northamericanforts.com/West/ak.html,West,"An Alaska Commercial Company trading post located on the south (or east) bank of the Yukon River, near the mouth of Hamlin Creek, about ten miles below the mouth of the Dall River, south-southwest of Stevens Village .","Fort Hamlin (1899 ?), Fort Hamlin - An Alaska Commercial Company trading post located on the south (or east) bank of the Yukon River, near the mouth of Hamlin Creek, about ten miles below the mouth of the Dall River, south-southwest of Stevens Village .",,2025-11-30 02:28:29
2816,Fort Jensen,,AK,Alaska,,fort,,(unknown dates),,,https://www.northamericanforts.com/West/ak3.html,West,Undetermined. A private landing strip located on the Alaska Peninsula about 30 miles northeast of Pilot Point . No road access.,"Fort Jensen (unknown dates),  - Undetermined. A private landing strip located on the Alaska Peninsula about 30 miles northeast of Pilot Point . No road access.",,2025-11-30 02:28:31
2792,Fort Kenay,"Kenai|Fort St. Nicholas|Nikolaevsk Redoubt, Fort Nikolaya, Kenai Redoubt, Paul's Fort, Fort St. Paul|Pavlovskaya Redoubt",AK,Alaska,Kenai,redoubt,Russia|United States,(1869 - 1870),1869,1870,https://www.northamericanforts.com/West/ak.html,West,"An American post with a one-square mile reservation. Also spelled Kenai . A replica blockhouse was built in 1967 close to the original site. First located here was the Russian Fort St. Nicholas (1791 - 1797 ?), built by the Lebedef - Lastochkin Company. Alternate names for the Russian fort are Nikolaevsk Redoubt, Fort Nikolaya, Kenai Redoubt, Paul's Fort, Fort St. Paul , and Pavlovskaya Redoubt . It was attacked by Dena'ina Indians in 1797.","Fort Kenay (1869 - 1870), Kenai - An American post with a one-square mile reservation. Also spelled Kenai . A replica blockhouse was built in 1967 close to the original site. First located here was the Russian Fort St. Nicholas (1791 - 1797 ?), built by the Lebedef - Lastochkin Company. Alternate names for the Russian fort are Nikolaevsk Redoubt, Fort Nikolaya, Kenai Redoubt, Paul's Fort, Fort St. Paul , and Pavlovskaya Redoubt . It was attacked by Dena'ina Indians in 1797.",,2025-11-30 02:28:29
2782,Fort Kennicott,,AK,Alaska,Nulato,fort,United States,(1866),1866,1866,https://www.northamericanforts.com/West/ak.html,West,A post built by the Western Union Telegraph Expedition. Abandoned because the winter was too cold.,"Fort Kennicott (1866), Nulato - A post built by the Western Union Telegraph Expedition. Abandoned because the winter was too cold.",,2025-11-30 02:28:29
2812,Fort Kodiak,Kadiak|Fort Pavlosk,AK,Alaska,"Kodiak, Kodiak Island",blockhouse,Russia|United States,(1868 - 1870),1868,1870,https://www.northamericanforts.com/West/ak3.html,West,"An American post. Also spelled Kadiak , the popular spelling until 1901. Located nearby was the Russian stockaded blockhouse Fort Pavlosk (1792 - 1868), the first headquarters for the Russian fur trade until 1808. An extant Russian-built warehouse, located at 101 East Marine Way, and known today as the Erskine House , was originally built in 1808 by the Russian-American Company. It was later used in 1868 by the American Alaska Commercial Company. It was sold in 1911 as a private residence.In 1967 it became the Baranov Museum (admission fee), operated by the Kodiak Historical Society. It is the oldest Russian-built wooden building still extant in Alaska, and one of only four original Russian structures still extant in the United States. The first white (Russian) settlement was actually located nearby at Three Saints Bay ( Old Harbor ) in 1784.","Fort Kodiak (1868 - 1870), Kodiak, Kodiak Island - An American post. Also spelled Kadiak , the popular spelling until 1901. Located nearby was the Russian stockaded blockhouse Fort Pavlosk (1792 - 1868), the first headquarters for the Russian fur trade until 1808. An extant Russian-built warehouse, located at 101 East Marine Way, and known today as the Erskine House , was originally built in 1808 by the Russian-American Company. It was later used in 1868 by the American Alaska Commercial Company. It was sold in 1911 as a private residence.In 1967 it became the Baranov Museum (admission fee), operated by the Kodiak Historical Society. It is the oldest Russian-built wooden building still extant in Alaska, and one of only four original Russian structures still extant in the United States. The first white (Russian) settlement was actually located nearby at Three Saints Bay ( Old Harbor ) in 1784.",,2025-11-30 02:28:31
2803,Fort Koutznou,,AK,Alaska,Admirality Island,fort,United States,(1867),1867,1867,https://www.northamericanforts.com/West/ak2.html,West,A proposed American military fort that was never actually built.,"Fort Koutznou (1867), Admirality Island - A proposed American military fort that was never actually built.",,2025-11-30 02:28:30
2765,Fort Liscum,,AK,Alaska,Port Valdez,fort,United States,(1900 - 1922),1900,1922,https://www.northamericanforts.com/West/ak.html,West,"An Army post at the southern terminus of the Fairbanks-Valdez Military Road. Site is near the Trans-Alaska Pipeline's southern terminal, about four miles due south of Valdez .","Fort Liscum (1900 - 1922), Port Valdez - An Army post at the southern terminus of the Fairbanks-Valdez Military Road. Site is near the Trans-Alaska Pipeline's southern terminal, about four miles due south of Valdez .",,2025-11-30 02:28:29
2817,Fort Morrow,,AK,Alaska,Port Heiden,fort,United States,(1942 - 1946),1942,1946,https://www.northamericanforts.com/West/ak3.html,West,"A WWII Army post and airfield, and nearby Navy section base.","Fort Morrow (1942 - 1946), Port Heiden - A WWII Army post and airfield, and nearby Navy section base.",,2025-11-30 02:28:31
2784,Fort Morton,,AK,Alaska,near Noorvik,camp,United States,(1883 - 1884),1883,1884,https://www.northamericanforts.com/West/ak.html,West,An American winter camp for early military explorations. Located at the mouth of the Kobuk River.,"Fort Morton (1883 - 1884), near Noorvik - An American winter camp for early military explorations. Located at the mouth of the Kobuk River.",,2025-11-30 02:28:29
2781,Fort Nulato,Fort Derabin,AK,Alaska,Nulato,trading post,Russia,(1838 - 1851),1838,1851,https://www.northamericanforts.com/West/ak.html,West,"A Russian-American Co. trading post was burned by Indians, then rebuilt in 1842. Attacked by Indians again in 1851. Originally called Fort Derabin , located two miles downstream. The post was probably moved in either 1841 or 1842. The U.S. Army established a Signal Corps station southwest of here in 1921.","Fort Nulato (1838 - 1851), Nulato - A Russian-American Co. trading post was burned by Indians, then rebuilt in 1842. Attacked by Indians again in 1851. Originally called Fort Derabin , located two miles downstream. The post was probably moved in either 1841 or 1842. The U.S. Army established a Signal Corps station southwest of here in 1921.",,2025-11-30 02:28:29
2820,Fort Randall,,AK,Alaska,Cold Bay,battery,United States,(1942 - 1946),1942,1946,https://www.northamericanforts.com/West/ak3.html,West,An Army airfield and Navy section base. A two-gun 6-inch naval gun battery was located at Grant Point. One remaining gun is on display near the town dump. A four-gun 155mm gun battery on Panama mounts was located at Mortensen's Lagoon at Thin Point. The HECP bunker still remains at Pride Lake. (info courtesy of Colt Denfeld of the Coast Defense Study Group),"Fort Randall (1942 - 1946), Cold Bay - An Army airfield and Navy section base. A two-gun 6-inch naval gun battery was located at Grant Point. One remaining gun is on display near the town dump. A four-gun 155mm gun battery on Panama mounts was located at Mortensen's Lagoon at Thin Point. The HECP bunker still remains at Pride Lake. (info courtesy of Colt Denfeld of the Coast Defense Study Group)",,2025-11-30 02:28:31
2796,Fort Resurrection,,AK,Alaska,near Seward,blockhouse,Russia,(1792 - unknown),1792,1792,https://www.northamericanforts.com/West/ak.html,West,A Russian stockaded blockhouse on Resurrection Bay.,"Fort Resurrection (1792 - unknown), near Seward - A Russian stockaded blockhouse on Resurrection Bay.",,2025-11-30 02:28:29
